Vertex         ,Longitude (dd) ,Latitude (dd)  ,Z (Meters)     
1,107.6711967,33.6639574,0
2,107.6711969,33.6639573,0
3,107.6715886,33.6638901,0
4,107.6719803,33.663823,0
5,107.6724371,33.6637969,0
6,107.6728939,33.6637708,0
7,107.6733183,33.6636628,0
8,107.67373,33.6634578,0
9,107.6738084,33.6634187,0
10,107.6738085,33.6634187,0
11,107.6738086,33.6634186,0
12,107.6738905,33.6633816,0
13,107.6738947,33.6633796,0
14,107.6741443,33.6632666,0
15,107.6741678,33.663256,0
16,107.6741999,33.6631588,0
17,107.6742188,33.6631017,0
18,107.6742596,33.6629782,0
19,107.6742668,33.6629562,0
20,107.6742689,33.6624107,0
21,107.6742509,33.6618749,0
22,107.6742396,33.6615377,0
23,107.6742305,33.6614625,0
24,107.6742169,33.661349,0
25,107.6741447,33.6607464,0
26,107.673951,33.6602003,0
27,107.673931,33.660076,0
28,107.6738967,33.6598633,0
29,107.6738475,33.6595575,0
30,107.6738235,33.6594089,0
31,107.6738255,33.6588907,0
32,107.6738306,33.6587919,0
33,107.6738607,33.6582088,0
34,107.6740258,33.6576637,0
35,107.67418,33.6572967,0
36,107.6742891,33.657037,0
37,107.6745112,33.6566582,0
38,107.6748801,33.6560293,0
39,107.6749666,33.6558786,0
40,107.6750638,33.6557093,0
41,107.6751008,33.6556448,0
42,107.6752084,33.6554573,0
43,107.675303,33.6553177,0
44,107.6753327,33.6552739,0
45,107.6753607,33.6552326,0
46,107.6755036,33.6550216,0
47,107.6755037,33.6550216,0
48,107.6755037,33.6550215,0
49,107.6756046,33.6549482,0
50,107.6757654,33.6548313,0
51,107.6759614,33.65475,0
52,107.6764837,33.6546422,0
53,107.6765106,33.6546381,0
54,107.6765246,33.6546336,0
55,107.6765892,33.6546113,0
56,107.6769683,33.654468,0
57,107.6773475,33.6543248,0
58,107.6777266,33.6541816,0
59,107.6780195,33.6540507,0
60,107.6783124,33.6539198,0
61,107.6785829,33.6537794,0
62,107.6786731,33.6536951,0
63,107.6786731,33.653695,0
64,107.6786732,33.653695,0
65,107.6788766,33.653404,0
66,107.6788767,33.6534039,0
67,107.6790119,33.653329,0
68,107.679473,33.6533208,0
69,107.6800128,33.6533458,0
70,107.6805525,33.6533707,0
71,107.6809068,33.6533622,0
72,107.6812611,33.6533537,0
73,107.6815927,33.6533875,0
74,107.6819244,33.6534212,0
75,107.6824188,33.6535354,0
76,107.6828573,33.6535647,0
77,107.6831666,33.6535514,0
78,107.6834759,33.6535381,0
79,107.6837739,33.6535483,0
80,107.6840719,33.6535584,0
81,107.6843641,33.6536156,0
82,107.6846563,33.6536728,0
